구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
,구윧,"음식이 정갈해요! 미친듯이 맛있다까지는 아니지만 분위기 괜찮고 음식 무난해서 갈만한 것 같아요ㅎㅎ
다만 아쉬운 점은 겨울인데도 매장에 날파리가 계속 날아다녀서 위생이 걱정됐고, 음식 양이 적은 편이에요!
테이블이 4개밖에 없어서 오픈시간 맞춰서 가지 않으면 거의 웨이팅 있으니까 일찍 가시는걸 추천합니다ㅎㅎ","카츠동 7,000원.

고기 별로에요.
별다른 소스나 양념 없이
그냥 밥 위에 돈가츠 올렷네요.

찬으로 나온 양배추는 신선하고
아삭아삭해서 좋앗어요.",,,,,닭한마리집 중에 진짜 제일 맛있어요! 고기는 야들야들하고 국물도 맛있고 몇년째 찾는 맛집입니다????? 치즈닭갈비 덮밥도 맛있으니 꼭꼭 함께 드세요!,직원분들 친절하시고 맛있어요,항상 맛있게 잘 먹고있습니다,,"개인적으로 오징어튀김이랑 돌판오징어를 맛있게 먹었어요??
돌판오징어는 약간 짬뽕이 생각나는 맛이라 밥 볶아 먹거나 칼국수사리 추가해도 맛있을 것 같아요
오징어튀김은 느끼하지 않고 바삭하니 꼭 드셔보셍ㅎ
둘이서 오적한상 먹었는데 양이 많긴 했지만 다채롭게 즐길 수 있어서 좋았어요
신촌역 맛집이나 술집 찾는다면 추천드립니다!",맛있었어요!!
,"쌀국수가 땡기는 계절
숙주를 좋아하는데 적어 아쉬웠지만
다른 고명들이 알차고
양파절임도 너모 맛있다",깔끔,"특색 없는 맛임
밥에서 쉰냄새가 나고 연어는 평범했음
양배추에 샐러드랑 국 하나 나오는데
이 퀄리티에 이런 구성, 양이면 11000원은 좀 비싼 듯",,,"오랜만에 방문했는데. 지존 맛있어요.
순삭이예요.",,신촌에서 닭한마리 땡길땐 이 곳으로 와요!! 소스도 맛있고 닭육수가 진짜 시원하니 맛있어용!! 감자수제비사리도 강추 ㅎㅎ,점심 때 가서 먹었는데 맛있었어용,좋아요,,"음식 정갈하게 잘 나오고 다 맛있어요!!!!!!
직원 분들도 친절하셔서 자주 찾게 될 것 같은 식당이에욬ㅋㅋㅋ","맛은 무한리필 치고 그럭저럭 괜찮았는데
불이 너무 약해서 좀 그래요. 천천히 구워서 배부르게 만들어서 많이 못먹게 하려는건가.. 숯도 몇번을 다시 쓰는지 상태가 별로에요. 불 약하다고 몇차례 이야기 했는데도 끝까지 불상태가 별로.."
,"가성비 좋아요 ! 저렴하게 베트남 음식 먹을 수 있는 곳 !
똠양꿍은 처음 도전해봤는데 처음에 어색한 것만 견디면 자꾸 국물이 들어가는 매직 ,, 면추가 1회 가능한데, 그러면 양이 아주 많아요!!",비싸지만마잇어요,굿,,,좋아요,,오늘 손님이 붐비지도 않았는데 좀 불친절해서 기분이 상당히 안좋았습니다.,굿,넘 맛있어요^.^,,"유명한 오적회관 처음 방문해봤는데요 매장도 널찍하해서 가족들끼리 외식하러 많이들 오시더라구요
처음이니까 다양하게 맛보고 싶어 오적한상 주문했는데 상다리 부러지는줄..!
오징어볶음 오징어 이렇게 많이 나오능 식당 진짜 처음봐요 오징어 진짜 비싼데,, 수육도 야들야들 계속 따뜻하게 먹을수 있게 셋팅해주셔서 좋았고 여기 오징어튀김 맛집입니다 튀김은 꼭 드셔야해요
요즘 채소 물가 많이 올라서 쌈채소 비싼데 싱싱한 쌈채소 리필해서 먹을수 있어서 너무 좋았어요
든든하게 단백질 가득한 한상 제대로 먹었습니다??",잘 먹었어요.
,맛있어요,메뉴 하나하나 모두 맛있었어요??,나쁘진않은데 직원분들이 좀 더 친절하시면 좋을듯,,,"아 진짜 이런 리뷰 안 쓰는데 많이 별로라서 참고하라고 말씀드려요!!!
평일이고 사장님만 계신건지 알바생인지 모르겠으나 뭐 여쭤보는데 대답도 잘 안 해주시고 표정도 별로고 맛도 그닥.... 여기 왜 평점 높은지 이해가 잘 안되는데 ㅎㅎ.....
돈 내고 먹는건데도 눈치봐야하고 가게가 휑 한 이유를 알 것 같아요ㅠ
먼저 왔는데도 다른 팀부터 치킨 보내고,, 생각할수록 짜증나네요 ㅎㅅㅎ
기본적인 서비스가 안 되어있는 것 같어요 ㅠ",,맛나요!,좋아요,맛있게 먹었습니다,,"오늘 신촌데이트 와서 오적회관 첨왔는뎅
보쌈부터 오징어무침, 튀김, 볶음까지! 오감만족하는
신촌역 술집 찾아서 넘 만족스러워요!! 오징어가 탱글탱글하고 신선하구요
리필 바가있어서 편하게 먹을 수 있고 숭늉, 냉국, 쌈까지! 넘 배부르게 먹고 갑니다 ㅠㅠ 신촌역 맛집으로 추천! 매장 분위기도 깔꼼하고 좋네요??",맛있고 친절해요. 굿굿
,맛있어요,여기 피자가 짱맛이에요오,신촌 대표 맛집! 막상 신촌에서 밥 먹고 싶을 때 찾아보면 고기집 아니면 파스타만 나오는데 여기 돈부리랑 덮밥 깔끔하고 정말 맛나요! 밥 양도 많고 연어 신선하고 가라아게도 바삭해요! 에비후라이 사이드로 추천^^*,,,굿,,"평소에도 자주 먹는 닭한마리에요!
신촌점이 특히 맛있어서 자주 방문합니다ㅎㅎ
양도많고 국물도 담백해서 이번에도 잘 먹고왔네요~~",맛있어요,맛있습니다,,"신촌에서 오징어 요리 아주 맛있게 잘하는 집입니다.
오징어튀김 느끼하지 않고 바삭한게 아주 맛있고 수육도 야들야들하니 일품이며 오징어무침도 식감 좋고 별미였고 불향과 풍미, 감칠맛까지 끝내주는 오징어볶음까지 술안주로도 좋고 든든하고 맛있는 식사하기 제격인 신촌역 밥집 오적회관 신촌점입니다.",
,,,제 입맛엔 조금 짜서 아쉬웠어요,,,굿,,항상 즐겨찾는 유닭스토리~ 맛있어용,굿,맛있어요~~,,아주굿이에여! 가성비 짱,굿굿 만족
,분짜 최고!,,맛이 변한건가 .. 사케동 진짜 맛이 ..음 .. ㅋㅋ 연어도 좀 비리고 밥은 너무 맨밥이에요 .. 차라리 버터밥을 넣는게 나을듯 싶어용 감자튀김은 존맛ㅋㅋㅋㅋㅋ지금껏 먹은 감튀중에 젤 맛있는듯 .. ㅋ ㅋㅋ,,,굿,,닭이 신선하고 맛있어요!,"정말 좋아하는 집이에요 맛있습니다
잊을만하면 생각나는 짚신~!??
여자 알바분 친절하셔서 좋았어요 !",늘 잘 시켜먹고 있습니다 재료가 신선하고 가격도 합리적이라 단골이 될 거 같아요!,,"오징어볶음이랑 수육의 조합.. 궁금해서 가봤어요!!
둘이 잘어울리더라고요. 오징어 볶음 안매워서 좋았어요.
수육은 역시 맛있네요..?? 셀프바도 있고 푸짐해서 좋아요!
가족 회식이나 직장회식하기 딱 좋을것 같은 메뉴랑 분위기에요!",서울 중심가에서 이런 가격과 맛 완벽해요 영원히 가고 싶어요 ㅠㅠ
,"쌀국수, 볶음밥 넘넘 맛있어요^^!!",,맛있는데 맵고 자극적이에요 새우튀김굿,,,맛있어요!!,,여기 완전 맛있어요!! 국물이 넘 맛있어서 또 생각나서 왔어요 ㅎㅎㅎ 칼국수 면도 넘 맛있고 김치도 진짜 맛있어요! 고기도 소스 만들어서 찍어먹는데 주기적으로 생각나는 맛이에요 :),,맛있고 건강한 프레퍼스 먹으러 신촌점으로 오세요,,"오적회관 신촌점 완전 맛집이네요??
오적한상 주문했는데 오징어 초무침은
새콤하니 군침이 싹돌고 돌판오징어는 불맛이
확 나서 밥까지 비벼서 먹었어요!
보쌈도 양이 많아서 몇점 남길정도에요!!
튀김도 엄청크고 오징어 실하네요!!
다음에 재방문 할게요??????","막창,닭갈비,생갈비 다 맛있어요!! ??????"
,집 앞 맛집 마이따,,매콤한맛 좋아요,,,"음식 주문 접수만 빠르네요……
특히 사장님은 바쁘지도 않았는데 무와 소스 리필 요청에 대해 대답만 하시고 안주시네요…
그래서 결국 기다리다 알바분께 다시 요청하고, 겨우 받았네요…
다른건 만족 못하지만 맛은 있네요^^",,"닭한마리 생각날때 마다 오는곳이에요.
특히 소스가 맛있어요",굿굿,신메뉴 커리 먹으러 왔어요! 늘 다이어트할때 바깥에서도 음식먹을수있어서 좋아요~,,신촌역맛집 오적회관 오적반상 술안주로도 식사메뉴로도 좋아서 자주 찾는 곳이에요 튀김도 바삭하니 맛있고 보쌈도 같이 주시는 백김치랑 오징어 무침이랑 싸먹으면 존맛도리인데 특히 돌판오징어볶음이 미쳤어요 오징어랑 야채도 맛있지만 양념이 기깔나서 꼭 밥이든 칼국수 사리든 넣어서 양념까지 싹싹 긁어먹어야 합니다,^^
,"지나가다 본 날, 방문한 날 모두 웨이팅 있었어요 양 괜찮구 맛도 있네요 똠양꿍 쌀국수 존맛",,간이 너무 쎄요,,,굿,,닭한마리 먹고싶어서 왔는데 넘 좋습니다. 얼큰 시원!!,적당히 맵고 맛있어요~~ 양도 푸짐해요,맛있어용,,"오징어무침에 수육과 오징어튀김까지 골고루 먹을 수 있어서 구성이 참 좋았어요!
양념들도 적당히 매콤하고 부드러운 튀김까지
만족스러운 한끼였어요!",무한리필 안가는데 유일하게 가는 곳 !! 막창 존마탱~~
,분깐조 죽여줘용,,유케동이 진짜 맛있었어요!!!! 가라아게는 겉바속촉이구 달걀가츠는 처음 먹어봤는데 특이하고 맛있었어요. 우동을 먹고싶긴한데 큰 우동은 양이 좀 부담스러웠는데 2천원에 미니우동을 맛볼 수 있어서 좋았어요. 신촌맛집 인정이용??,,,"순살. 고기가 튼실합니다.
맛나게 잘 먹었습니다.",,맛있어용,"코로나 이후로 첫방문인데
양이 줄어든 느낌은 기분탓일까여
맛은 여전히 맛있습니댜??",고기도 맛있고 혼자 먹기 좋아요,,"수육과 오징어볶음 조합이 환상적인 곳??
일단 메인 요리들이 다 깔끔하니 맛나구요
셀프바에서 반찬이랑 쌈채소 갖다 먹을 수 있는데
매장이 청결 그 자체라
마음 놓고 먹을 수 있었어요ㅎㅎ
신촌역 맛집으로 인정합니다????",가성비도 괜찮고 메뉴도 좋습니다. 무한리필인데도 고기질도 괜찮아요. 특히 양념갈비는 양념이 연해서 부담없이 먹기 더욱 좋습니다
,늘 맛있게 먹고 있어요,,좋아요,,,인생닭이에요>_< 처음먹어봤는데 가게분위기도 좋고 맛도 좋아요! 배달되면 매일 시켜먹고시프네요 ㅠㅠ,,친구랑 함께 왔는데 역시 맛있어요!! 닭한마리랑 치즈닭갈비 같이 먹으면 궁합 최고예요 굳굳,좋아요,맛있습니다,,신촌맛집 찾다가 방문한 오적회관 먹을게 엄청 많았고 음식도 맛있었어요. 점심에는 밥집 저녁에는 술집으로도 딱! 회식 모임도 좋은거같아여. 배불리 잘먹었습니다.,신촌 최애맛집
,"사랑하는 맘맘테이블??
저만의 꿀팁?? 분팃능 기본 쌀국수면은 얇은건데 두꺼운걸로 바꿔 먹으면 더욱 쫄깃한 면으로 훨씬 맛있게 즐길 수 있습니다",,너무 맛있어요~~~,,,양이 예전보다 좀 줄긴했는데 여전히 맛있고 소스도 맛있어요! 아늑한 분위기라 대화하기 좋아용,,"닭한마리 최고!!
소스 찍어먹으면 넘 맛있어요!!
초계국수도 별미에요??","점심값 거금썼는데~완전불쾌
딱 한번으로 마무리^^",다이어트 할 때 오가 좋아요! 채소도 신선하고 파스타도 맛있습니다,,"원래 오징어볶음 좋아하는데 정말 맛있어요!!
매콤달콤한 양념에 오징어도 탱글쫄깃하고 완전 밥도둑 메뉴입니다 ??????
한상이나 두상 메뉴로 꼭드세요
오징어튀김, 수육, 초무침 모두 빼놓을거 없이 다 맛있어요
술안주로도 딱 좋을 구성입니다 ????????????","친절하시구 고기도 맛있었어요 배부르게 먹었네요 ?? 특히 막창이 저는 제일 맛있었어요
한가지 파절임 소스가 좀 더 진하면 좋을 것 같아요"
,"쌀국수 먹고 싶어서 갔는데
진짜 맛있었어요 똠양꿍도 맛있고
밥도 맛있고 짜조는 더 맛있어요 !!!
또갈꺼에여",,너무~ 맛있어요,,,치킨 넘 맛나요... 치맥하기 좋아요,,맛잇어요 죽추가하세요 존맛,맛있는데 불친절,엄청 맛있어요,,처음 방문한 곳인데 한식 안 좋아하는 편인데도 너무너무 맛있었어요!! 양도 많고 반찬도 실하고 쌈채소도 너무 신선합니다! 맛있게 먹었습니다,짱맛
,존맛탱구리.. 싹싹 다 먹구 나옴,,지이이이인짜 맛있어요!!!!!,,,할라피뇨 치즈 치킨 색다르고 신선한 메뉴라 좋았음. 조만간 한 번 더 방문해서 먹을 예정,,국물이 진짜 진하고 고기 잡내 하나 없이 부들부들하니 맛있습니다-! 2025블루리본까지 선정되셨던데 진짜 맛집 인정이요..!! 국물 깔끔하고 디자인도 독특해서 구경하는 재미도 있고-! 반찬들도 맛있고 설명서도 잘 쓰여있어서 좋았습니당,굿,맛있게 잘 먹었습니다.,,오징어매니아는 주목하세요 >_< 맛집입니다!,맛있어요
,분깐조 진짜 미친 중독성 쩌는 맛도리임.. 학생 때 자주 찾던 맛집인데 졸업하고도 주기적으로 생각나는 맛이라 분기별로 방문하고 있음. 분깐조x짜조 존맛임. 오랜만에 가니 위치도 바뀌도 리모델링해서 낯설었지만 맛은 한결같음. 풍자 또간집에 왜 나온거야.. 손님 많은 곳이긴 했지만 대기줄이 꽤 길었음ㅠㅠ 대기해서라도 먹어야 되는 맛집! 다만 시콤한 맛이라 호불호는 갈릴 수 있음,,굿,,,바삭하고 맛있어요 분위기도 좋구요,,,좋아요,처음 와봤는데 프레시하고 맛있어요!!,,"오징어요리 전문점인데 부드러운 수육까지 먹을 수 있어서 너무 좋네요~!
오징엄볶음 오징어무침 오징어튀김~~ 오징어요리를 한자리에서 맛볼 수 있어 정말 굿굿!!!",오픈때부터 다녔는데 사장님 친절하시고 껍데기랑 통삼겹 너무 맛있어요!!! ??????
,음식 가격이 저렴한데 다 맛있어서 엄청 만족했습니다 ??,,맛납니다,,,좋아요,,"국물이 맛있어요
닭도 부드럽고 맛있고 떡이 엄청 말랑야들해요
다음에 또 올거같아요
추천합니다!",소소한 맛입니다.,자주 오는데 항상 맛있고 빨리 나와서 좋아요! 매장 공사한 뒤로 더 깨끗해진것 같아서 좋아요.,,"점심특선있길래 방문했는데 양도 많고 맛도 있고!!
점심 한끼 잘 먹었습니다!!!
특히 치즈치즈가 너무 맛있었어용!!!!",사장님 엄청 친절하시고 가격도 완전 저렴하고 고기는 신선하고 저는 고기는 여기서만 먹습니다!!
,"좋아하는 곳임.
혼자 가기도 좋고 음식 빨리 나오는 편이고 맛있음. 타이밍 맞아야 금방 들어감.",,"사케동, 유케동 단짠단짠 부드럽게 잘 먹고왔어요ㅎㅎ

기본 제공되는 국과도 궁합이 좋고 사이드로 감자고로케는 어마어마한 맛이에요♡

신촌맛집답네요~",,,맛있어용!!,,다먹고 찍어서 닭이 별로 없는데 진짜 맛있었습니다! 추천합니다.,다른지점에서 맛있게 먹은 기억때문에 갔는데 별루네요,다시 오픈해서 너무 좋아요!! 맛있습니다,,너무 맛있게 잘먹었어요 메뉴구성좋고 다맛있어요 ^^,맛있어요. 갈비 부드러워요.근데 삼겹살 좀 딱딱해요
,"너무너무 맛있게 먹었던 베트남음식점!!??
분짜가 진짜 맛있었어요~
느억맘소스도 적당히 달달해서 좋았어요.
곁들여진 땅콩도 고소하니 잘 어울렸어요.
쌀국수는 조금 짰긴했는데 새우가 오동통하고 고기도 많고 완자볼도 있었어요.
매콤하게 먹어보고 싶어서 쌀국수 면 덜어서 스리라차 소스 뿌리고 다진고추 넣어서 먹어봤는데 신의 한수!!(매움주의)

신촌 갈 일 있으면 또 먹으러 갈 것 같아요
+ 가성비도 최고bb",,굿,,,머야머야 완전 맛있네?? 치킨은 이제 아웃닭이다!! 근데 화장실 문 고쳐야할듯해요.....문이 고장낫는데 안고치는 이유가...뭘까요,,맛있어서 재방문했어요 ㅎㅎㅎ 맛있게먹고갑니다,"사장님 친절하세요
고기 냄새 안나고 적당히 맵습니다(50프로)",자주오는데 맛있고 빨리 나와서 좋아요,,"신촌점은 처음인데 분위기 완전 좋아용!
꽃삼겹수육, 돌판오징어, 오징어튀김, 오징어무침까지
푸짐한 오적한상 세트! 메뉴 모두 맛있고 양도 푸짐해요.
돌판오징어 볶음은 불맛이 가득하고 적당히 매콤달콤해요~
오징어 무침과 튀김도 야들야들하니 맛있습니다. 역시 믿먹 오적회관 >.<♥",굿
